Ticker,Company Name,CIK,Sector,Industry
PAA,PLAINS ALL AMERICAN PIPELINE LP,0001070423,Energy,Oil & Gas Midstream
WES,"Western Midstream Partners, LP",0001423902,Energy,Oil & Gas Midstream
PR,Permian Resources Corp,0001658566,Energy,Oil & Gas E&P
CHK,CHESAPEAKE ENERGY CORP,0000895126,Energy,Oil & Gas E&P
YPF,YPF SOCIEDAD ANONIMA,0000904851,Energy,Oil & Gas Integrated
APA,APA Corp,0001841666,Energy,Oil & Gas E&P
FTI,TechnipFMC plc,0001681459,Energy,Oil & Gas Equipment & Services
HESM,Hess Midstream LP,0001789832,Energy,Oil & Gas Midstream
IEP,ICAHN ENTERPRISES L.P.,0000813762,Energy,Oil & Gas Refining & Marketing
IDKOY,"IDEMITSU KOSAN CO., LTD",0001380365,Energy,Oil & Gas Refining & Marketing
WFRD,Weatherford International plc,0001603923,Energy,Oil & Gas Equipment & Services
SWN,SOUTHWESTERN ENERGY CO,0000007332,Energy,Oil & Gas E&P
CSAN,Cosan S.A.,0001430162,Energy,Oil & Gas Refining & Marketing
RRC,RANGE RESOURCES CORP,0000315852,Energy,Oil & Gas E&P
NOV,NOV Inc.,0001021860,Energy,Oil & Gas Equipment & Services
MTDR,Matador Resources Co,0001520006,Energy,Oil & Gas E&P
AR,ANTERO RESOURCES Corp,0001433270,Energy,Oil & Gas E&P
PBF,PBF Energy Inc.,0001534504,Energy,Oil & Gas Refining & Marketing
CHRD,Chord Energy Corp,0001486159,Energy,Oil & Gas E&P
UGP,ULTRAPAR HOLDINGS INC,0001094972,Energy,Oil & Gas Refining & Marketing
NE,Noble Corp plc,0001895262,Energy,Oil & Gas Drilling
CIVI,"CIVITAS RESOURCES, INC.",0001509589,Energy,Oil & Gas E&P
MUR,MURPHY OIL CORP,0000717423,Energy,Oil & Gas E&P
AM,Antero Midstream Corp,0001623925,Energy,Oil & Gas Midstream
VNOM,"Viper Energy, Inc.",0001602065,Energy,Oil & Gas Midstream
CHX,ChampionX Corp,0001723089,Energy,Oil & Gas Equipment & Services
ENLC,"EnLink Midstream, LLC",0001592000,Energy,Oil & Gas Midstream
VVV,VALVOLINE INC,0001674910,Energy,Oil & Gas Refining & Marketing
SUN,Sunoco LP,0001552275,Energy,Oil & Gas Refining & Marketing
DTM,"DT Midstream, Inc.",0001842022,Energy,Oil & Gas Midstream
FRO,Frontline plc,0000913290,Energy,Oil & Gas Midstream
ADOOY,Adaro Energy PT/ADR/,0001489079,Energy,Thermal Coal
VAL,Valaris Ltd,0000314808,Energy,Oil & Gas Equipment & Services
NFG,NATIONAL FUEL GAS CO,0000070145,Energy,Oil & Gas Integrated
PTEN,PATTERSON UTI ENERGY INC,0000889900,Energy,Oil & Gas Drilling
ETRN,Equitrans Midstream Corp,0001747009,Energy,Oil & Gas Midstream
SM,SM Energy Co,0000893538,Energy,Oil & Gas E&P
MGY,Magnolia Oil & Gas Corp,0001698990,Energy,Oil & Gas E&P
RIG,Transocean Ltd.,0001451505,Energy,Oil & Gas Drilling
NXE,NexGen Energy Ltd.,0001698535,Energy,Uranium
CPG,Crescent Point Energy Corp.,0001545851,Energy,Oil & Gas E&P
